"screen_name","text","stripped_text1"
"heartsforthoma","why is addict from hazbin hotel such a fucking banger","why is addict from hazbin hotel such a fucking banger"
"StandardKenya","The 2nd edition of the Great Places to School Awards ceremony takes place on 3rd December at Sarova Stanley Hotel, Nairobi from 6PM - 10PM.

Book your slot by contacting Maureen Kemunto on 0715497859 | Sammy Karanja on 0721751548 https://t.co/xEAlSFdxQ6","the nd edition of the great places to school awards ceremony takes place on rd december at sarova stanley hotel nairobi from pm  pmbook your slot by contacting maureen kemunto on   sammy karanja on  "
"AbukoNaomy","@ehsanmahboubi1 @Bybit_Official Helloo please help me raise 4000USD ,,I own a hotel but am currently living a life of debts,,I was conned,, please help me clear my debts and boost my hotel business I will forever be grateful to you guys <U+0001F64F>+254708628663 is my phone number","  helloo please help me raise usd i own a hotel but am currently living a life of debtsi was conned please help me clear my debts and boost my hotel business i will forever be grateful to you guys uff is my phone number"
"AbukoNaomy","@Boprafik1 @Bybit_Official Hello Please help me raise 4000USD,,it will be enough to clear my debts and boost my hotel business+254708628663 is my number","  hello please help me raise usdit will be enough to clear my debts and boost my hotel business is my number"
"dudekable","@RockNRoLL_85 Morrison Hotel"," morrison hotel"
"GrainsBarHotel","Just posted a photo @ Grains Bar Hotel https://t.co/v2WXQzPimO","just posted a photo  grains bar hotel "
"mfor_money","@Raminations sir i dont have indian hotel with me. can i buy the right issue shares form the market now. What will happen after the temporary stock trading stops on 8 Dec, Will i be getting all the shares i am buying now. need some clarity on this."," sir i dont have indian hotel with me can i buy the right issue shares form the market now what will happen after the temporary stock trading stops on  dec will i be getting all the shares i am buying now need some clarity on this"
"girlsinthecloud","No hotel. No objects. No sorceress.","no hotel no objects no sorceress"
"MagMilanista","Does everyone bundle up pastries and yoghurts from a hotel breakfast buffet for their dinner â€¦ or is it just me?","does everyone bundle up pastries and yoghurts from a hotel breakfast buffet for their dinner â€ or is it just me"
"SignedHL","As much as I love bella shmurda, he honest doesnâ€™t know how to perform in large crowds YET. Idc for anyone who defends him because he did what he done at the Feb 2021 Headies award in Eko hotel yesterday at the o2.","as much as i love bella shmurda he honest doesnâ€™t know how to perform in large crowds yet idc for anyone who defends him because he did what he done at the feb  headies award in eko hotel yesterday at the o"
"ChefSheeru","@oyorooms on what grounds have you kept your NO REFUND POLICY? How can you deduct a single penny from a customer, when no service is availed and fault is on your Hotel Side? @IndianConsumerF is it right? @ConsumerReports @Grahak_suraksha @makemytrip @oyorooms REPLY??????????????"," on what grounds have you kept your no refund policy how can you deduct a single penny from a customer when no service is availed and fault is on your hotel side  is it right     reply"
"fightclubscript","A hotel.","a hotel"
"bassrattlestars","they have 2 points of entry into the hotel - they can go directly through the carpark and up the outdoor stairs or they can go around and through the side entrance to the carpark and through a stairwell inside. https://t.co/YxlJJ2eiCW","they have  points of entry into the hotel  they can go directly through the carpark and up the outdoor stairs or they can go around and through the side entrance to the carpark and through a stairwell inside "
"AustinTeslaClub","Supercharger at South Congress Hotel has several stalls available, apparently more to open soon. https://t.co/ciDwOLvUtY","supercharger at south congress hotel has several stalls available apparently more to open soon "
